instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
forum-14.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,245.8 4,-
forum-14.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,249.3 4,-
forum-14.prec60,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,49.4 4,-
forum-14.prec60,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,105.3 4,-
forum-14.prec60,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,68.7 4,-
forum-14.prec60,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,59.6 4,-
forum-14.prec60,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,57.7 4,-
forum-14.prec60,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,103.3 4,-
forum-14.prec60,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,52.6 4,-
forum-14.prec60,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,126.0 4,-
forum-14.prec60,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,67.9 4,-
forum-14.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,28.6 4,-
forum-14.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,65.6 4,-
forum-14.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,61.7 4,-
forum-14.prec60,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,198.9 4,-
forum-14.prec60,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,67.1 4,-
forum-14.prec60,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,159.5 4,-
forum-14.prec60,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,168.6 4,-
forum-14.prec60,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,133.2 4,-
forum-14.prec60,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,213.2 4,-
forum-14.prec60,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,93.9 4,-
forum-14.prec60,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,82.1 4,-
forum-14.prec60,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,193.3 4,-
forum-14.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,160.7 4,-
forum-14.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,48.2 4,-
forum-14.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,246.1 4,-
forumt-14.prec50,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,2.1 2,-
forumt-14.prec50,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,2.0 2,-
forumt-14.prec50,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,2.0 2,-
forumt-14.prec50,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,1.6 2,-
forumt-14.prec50,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,2.7 2,-
forumt-14.prec50,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,2.2 2,-
forumt-14.prec50,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,1.5 2,-
forumt-14.prec50,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,2.6 2,-
forumt-14.prec50,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,2.3 2,-
forumt-14.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,1.7 2,-
forumt-14.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,3.4 2,-
forumt-14.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,2.0 2,-
forumt-14.prec50,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.4 2,-
forumt-14.prec50,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,2.6 2,-
forumt-14.prec50,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.9 2,-
forumt-14.prec50,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,1.3 2,-
forumt-14.prec50,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,1.5 2,-
forumt-14.prec50,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,1.9 2,-
